Recommendation reliability,DirMF,BeMF,PMF,DeepMF,NCF
0,0.65078534281,0.65792803804,0.57163285851,0.43146685673,0.41140085943
0.1,0.65078534281,0.65787550875,0.57163285851,0.43146685673,0.41140085943
0.2,0.65078534281,0.65753932133,0.57163285851,0.43146685673,0.41140085943
0.3,0.6504990582,0.65659189731,0.57163285851,0.43146685673,0.41140085943
0.4,0.63809487554,0.65369251362,0.57163285851,0.43146685673,0.41140085943
0.5,0.23728255977,0.6463752762,0.57163285851,0.43146685673,0.41140085943
0.6,0.02228397118,0.62945619571,0.57163285851,0.43146685673,0.41140085943
0.7,0.00002667744,0.59376656952,0.57163285851,0.43146685673,0.41140085943
0.8,0,0.51853664049,0.57163285851,0.43146685673,0.41140085943
0.9,0,0.36754363548,0.57163285851,0.43146685673,0.41140085943
